Qty; Value;               Device;               Package;        Parts;                        DIGIKEY;       TOPMARK;
1;   100u,16V,elec,rad ;   C-US050-030X075  ;    C050-030X075 ;  C4                        ;399-6648-1-ND;              ;
1;   10uf,50V,elec,rad ;   C-US050-030X075  ;    C050-030X075  ; C5   Value discrepancy    ;P807-ND ;              ; 
1 ;  120K              ;   R-US_0207/10     ;    0207/10      ;  R18                       ;               ;              ; 
1;   120K              ;   R-US_M0805       ;    M0805        ;  R6                        ;               ;              ; 
1;   180K              ;   R-US_M0805        ;   M0805        ;  R4                        ;                ;              ;
3;   220               ;   R-US_M0805       ;    M0805        ;  R1, R2, R3                ;               ;               ;
1;   220K              ;   R-US_M0805       ;    M0805        ;  R11                       ;                ;             ; 
1;   270K              ;   R-US_M0805       ;    M0805        ;  R10                       ;                ;             ; 
1;   390K              ;   R-US_M0805       ;    M0805        ;  R7                        ;                ;             ; 
1;   47mF,5.5V         ;   CPOL-US153CLV-1010;   153CLV-1010  ;  C1,C3                     ; 399-16033-1ND  ;             ;    
5;   560K              ;   R-US_M0805        ;   M0805        ;  R8, R9, R13, R14, R16     ;                ;             ; 
3;   74AUC1G14DBV      ;   74AUC1G14DBV      ;   SOT23-5      ;  SCHMITT1, SCHMITT2, SCHMITT3 ; 296-12880-1-ND;       C175  ; 
3 ;  AA-BATT           ;   Nicad-AA-BATT     ;   AA-BATT      ;  U$5, U$6, U$7               ;              ;             ; 
3;   BAS40             ;   BAS40             ;   SOT23        ;  D2, D4, D8                  ;BAS40-04fdict-ND;       88Y   ; 
1;   INA138            ;   INA138            ;   SOT23-5      ;  SAFE                        ;296-17936-1-ND;       15F2  ; 
1;   MAX6465XR29T      ;   MAX6465           ;   SC70-3       ;  IC1                         ;MAX6465XR27+TCT-ND;       AMW   ; 
3;   MOSFET-PCHANNEL   ;   MOSFET-PCHANNEL   ;   SOT23-3      ;  Q1, Q2, Q3                  ; SSM3J338RLFCT-ND;       KFQ   ; 
1;   Pololu 5V, S10V4F5;   M03PTH            ;   1X03         ;  SAFECIRCUITPOWER            ; 2183-2121-ND ;             ; 
1;Pinheader straight 0.1; 					;		1x8 0.1;	;JP1						; S1011EC-8-ND	;				;
1;   NP                ;   1N821             ;   DO35Z10      ;  D1                          ;              ;             ; 
2;   NP                ;   BAS40             ;   SOT23        ;  D3, D5                      ;              ;              ;
1;   NP                ;   CPOL-US153CLV-1010;   153CLV-1010  ;  C2                          ;              ;             ; 
1;   NP                ;   R-US_0207/10      ;   0207/10      ;  R5                          ;              ;             ; 
3;   NP                ;   R-US_M0805        ;   M0805        ;  R12, R15, R17               ;              ;             ; 
