"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGI-KEY";"DIGI_KEY";
"1";"";"PINHD-1X5";"1X05";"JP19";"PIN HEADER";"";"";
"1";"";"PINHD-2X3";"2X03";"JP9";"PIN HEADER";"";"";
"1";"0";"R-US_R0805";"R0805";"R2";"RESISTOR, American symbol";"311-0.0ARCT-ND";"";
"8";"0";"R-US_R0805";"R0805";"R1, R3, R8, R9, R10, R11, R12, R13";"RESISTOR, American symbol";"";"";
"2";"0.1uf";"C-USC0805";"C0805";"C2, C13";"CAPACITOR, American symbol";"";"";
"2";"0.1uf";"C-USC1206";"C1206";"C1, C3";"CAPACITOR, American symbol";"";"";
"2";"1.0";"R-US_R1206";"R1206";"R4, R5";"RESISTOR, American symbol";"";"";
"1";"10K";"R-US_0204/7";"0204/7";"R7";"RESISTOR, American symbol";"";"";
"1";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"D2";"DIODE";"";"";
"1";"23LC1024";"PINHD-1X4";"1X04";"JP2";"PIN HEADER";"23LC1024-I/P-ND";"";
"1";"9DOF";"PINHD-1X4";"1X04";"JP7";"PIN HEADER";"";"";
"1";"App-Board 1.2/1.3";"APP_CORE";"APPCORE_RECEIVER";"U$1";"";"";"";
"1";"CAM-POLOLU 3.3V";"PINHD-1X4";"1X04";"JP3";"PIN HEADER";"";"";
"1";"CAMERA1-HEADER";"PINHD-1X4";"1X04";"JP6";"PIN HEADER";"";"";
"2";"COIL_PINOUT";"COIL_PINOUT";"COIL_PINOUT";"U$5, U$6";"";"";"";
"1";"Coil1-Pololu 3.3V";"PINHD-1X4";"1X04";"JP14";"PIN HEADER";"";"";
"1";"Coil2-Pololu 3.3V";"PINHD-1X4";"1X04";"JP15";"PIN HEADER";"";"";
"1";"I2C OUT";"PINHD-1X2";"1X02";"JP12";"PIN HEADER";"";"";
"2";"LB1848MC_H-BRIDGE";"LB1848MC_H-BRIDGE";"LB1848MC_H-BRIDGE";"IC1, IC2";"";"";"LB1848MC-AHOSCT-ND";
"14";"MOUNT-PAD-ROUND3.3";"MOUNT-PAD-ROUND3.3";"3,3-PAD";"H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12, H17, H18";"MOUNTING PAD, round";"";"";
"4";"MOUNT-PAD-SQUARE3.3";"MOUNT-PAD-SQUARE3.3";"3,3-PAD-SQUARE";"H13, H14, H15, H16";"MOUNTING PAD, square";"";"";
"1";"POWER2";"PINHD-1X2";"1X02";"JP11";"PIN HEADER";"";"";
"1";"SD-CARD1";"PINHD-1X7";"1X07";"JP8";"PIN HEADER";"";"";
"1";"SPI OUT";"PINHD-1X4";"1X04";"JP13";"PIN HEADER";"";"";
"1";"SRAMLEFT";"PINHD-1X4";"1X04";"JP1";"PIN HEADER";"";"";
"2";"SUNSENSOR";"PINHD-1X4";"1X04";"JP5, JP18";"PIN HEADER";"";"";
